이름,수학,영어,국어,수학교사,영어교사,국어교사
강아지,66,61,26,김선생,장선생,최선생
고양이,92,48,80,김선생,장선생,이선생
토끼,98,7,6,김선생,장선생,최선생
사자,17,99,14,김선생,유선생,최선생
호랑이,83,92,75,박선생,장선생,이선생
곰,57,52,54,김선생,유선생,이선생
원숭이,86,97,71,김선생,장선생,이선생
기린,97,85,1,김선생,유선생,최선생
코끼리,96,94,43,김선생,유선생,이선생
판다,47,27,58,박선생,장선생,이선생
늑대,73,34,55,박선생,장선생,최선생
여우,32,97,25,박선생,유선생,이선생
펭귄,46,76,50,김선생,장선생,이선생
하이에나,96,40,84,김선생,장선생,최선생
코알라,25,3,56,박선생,장선생,이선생
강치,83,69,49,박선생,유선생,이선생
햄스터,78,64,12,김선생,장선생,최선생
뱀,36,75,18,김선생,장선생,이선생
독수리,96,34,81,박선생,장선생,이선생
침팬지,80,58,1,박선생,장선생,이선생
하마,68,10,51,박선생,유선생,이선생
두더지,49,22,44,김선생,유선생,최선생
물소,55,77,48,박선생,장선생,이선생
캥거루,67,18,56,김선생,장선생,최선생
참새,2,100,91,김선생,유선생,최선생
타조,84,15,49,박선생,유선생,이선생
개구리,39,27,86,박선생,장선생,이선생
펠리칸,66,30,3,김선생,유선생,이선생
돌고래,84,52,67,박선생,유선생,최선생
매,47,70,11,김선생,유선생,이선생
